PLAYER_NAME,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
Jalen Brunson,New York Knicks,2,2,28,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),21,-116,179,0
Jalen Brunson,New York Knicks,2,2,22,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,21,7,1
Santi Aldama,Memphis Grizzlies,2,2,9,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,70,255,0
OG Anunoby,New York Knicks,2,1,59,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,233,18,0
Guerschon Yabusele,New York Knicks,2,1,46,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-230,28,0
Jaylen Wells,Memphis Grizzlies,2,1,37,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-157,197,1
Mikal Bridges,New York Knicks,2,1,21,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-16,21,1
Mikal Bridges,New York Knicks,2,1,3,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,12,7,1
Santi Aldama,Memphis Grizzlies,2,0,51,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,16,14,1
Josh Hart,New York Knicks,2,0,38,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24,168,179,1
Jalen Brunson,New York Knicks,2,0,8,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),12,2,120,1
Ja Morant,Memphis Grizzlies,2,0,1,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),18,80,168,0
Ja Morant,Memphis Grizzlies,3,11,35,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),17,-62,164,0
